Year,State,Constituency,Constituency_No,Candidate,Gender,Party,Party_Symbol,Total_Electors,Votes,Vote_Pct,Margin,Category
1951,Karnataka,Bangalore,1.0,K. Chengalaraya Reddy,Male,Independent,IND,420567.0,0.0,51.6,0.0,GEN
1951,Karnataka,Tumkur,2.0,S. Nijalingappa,Male,Independent,IND,398221.0,0.0,52.1,0.0,GEN
1951,Kerala,Alleppy,3.0,C. Kesavan,Male,Independent,IND,1178036.0,0.0,47.48,201568.0,GEN
1951,Kerala,Quilon,2.0,R. Sankar,Male,Independent,IND,1178036.0,0.0,47.48,199131.0,GEN
1951,Kerala,Trivandrum,1.0,A. A. Rahman,Male,Independent,IND,1178036.0,0.0,47.48,188191.0,GEN
1951,Madhya Pradesh,Amravati East,20.0,Panjabrao Shamrao Deshmukh,Male,Indian National Congress,INC,357241.0,221630.0,62.77,139120.0,GEN
1951,Madhya Pradesh,Amravati West,21.0,Krushnarao Gulabrao Deshmukh,Male,Indian National Congress,INC,384307.0,207654.0,57.92,120266.0,GEN
1951,Madhya Pradesh,Balaghat,8.0,C. D. Goutam,Male,Indian National Congress,INC,370922.0,179578.0,65.56,117725.0,GEN
1951,Madhya Pradesh,Bastar,7.0,Muchaki Kosa,Male,Independent,IND,384277.0,213845.0,83.05,177588.0,GEN
1951,Madhya Pradesh,Betul,15.0,Bhikulal Lakhmichand Chandak,Male,Indian National Congress,INC,387336.0,216283.0,59.77,129277.0,GEN
1951,Madhya Pradesh,Bhandara,18.0,Chaturbhuj Vithaldas Jasani,Male,Indian National Congress,INC,770354.0,808807.0,28.45,230096.0,GEN
1951,Madhya Pradesh,Bilaspur,2.0,Reshamlal,Male,Indian National Congress,INC,762814.0,463236.0,28.03,129832.0,GEN
1951,Madhya Pradesh,Bilaspur Durg Raipur,3.0,Agamdas,Male,Indian National Congress,INC,759650.0,529972.0,22.02,116713.0,GEN
1951,Madhya Pradesh,Buldana Akola,23.0,Gopalrao Bajirao Khedkar,Male,Indian National Congress,INC,783957.0,862425.0,28.22,243386.0,GEN
1951,Madhya Pradesh,Chanda,19.0,Mulla Abdullabhai Taherali,Male,Indian National Congress,INC,368225.0,230336.0,61.77,142277.0,GEN
1951,Madhya Pradesh,Chhindwara,14.0,Raichand Bhai Shah,Male,Indian National Congress,INC,381555.0,131682.0,53.16,69997.0,GEN
1951,Madhya Pradesh,Durg,5.0,W. S. Kirolikar,Male,Indian National Congress,INC,398341.0,191348.0,63.57,121648.0,GEN
1951,Madhya Pradesh,Durg Bastar,6.0,Bhagwati Charan Shukla,Male,Indian National Congress,INC,394803.0,214924.0,47.77,102666.0,GEN
1951,Madhya Pradesh,Hoshangabad,13.0,Syed Ahmad,Male,Indian National Congress,INC,364350.0,164838.0,39.66,65375.0,GEN
1951,Madhya Pradesh,Jabalpur North,10.0,Sushil Kumar,Male,Indian National Congress,INC,399430.0,176914.0,44.61,78923.0,GEN
1951,Madhya Pradesh,Mahasamund,4.0,Sheodas Daga,Male,Indian National Congress,INC,392827.0,159178.0,69.66,110886.0,GEN
1951,Madhya Pradesh,Mandla Jabalpur South,9.0,Govind Das Maheshwari,Male,Indian National Congress,INC,686330.0,593342.0,35.88,212914.0,GEN
1951,Madhya Pradesh,Nagpur,17.0,Anusayabai Purushottam Kale,Female,Indian National Congress,INC,352870.0,210078.0,49.3,103566.0,GEN
1951,Madhya Pradesh,Nimar,12.0,Tiwari Babulal Surajbhan,Male,Indian National Congress,INC,387579.0,175023.0,47.55,83228.0,GEN
1951,Madhya Pradesh,Sagar,11.0,Sodhia Khubchand Daryao Singh,Male,Indian National Congress,INC,396406.0,157374.0,55.72,87689.0,GEN
1951,Madhya Pradesh,Surguja Raigarh,1.0,Maharajkumar Ju Deo,Male,Independent,IND,804512.0,624338.0,16.21,101178.0,GEN
1951,Madhya Pradesh,Wardha,16.0,Shrimannarayan Dharamnarayan Agarwal,Male,Indian National Congress,INC,390119.0,238029.0,60.81,144755.0,GEN
1951,Madhya Pradesh,Yeotmal,22.0,Sahadeo Arjun Bharati,Male,Indian National Congress,INC,396935.0,221757.0,56.09,124376.0,GEN
1952,Karnataka,Bangalore North,0.0,K.C. Reddy,Male,Independent,IND,350000.0,0.0,55.0,0.0,GEN
1952,Tripura,Tripura East,2.0,Dasarath Deb,Male,Communist Party of India,CPI,179607.0,79520.0,53.91,13216.0,GEN
1952,Tripura,Tripura West,1.0,Birendra Chandra Dutta,Male,Communist Party of India,CPI,150199.0,77851.0,51.8,22345.0,GEN
1954,Karnataka,Bangalore South,0.0,K. Hanumanthaiya,Male,Independent,IND,320000.0,0.0,52.0,0.0,GEN
1956,Karnataka,Kolar,0.0,M.V. Krishnappa,Male,Independent,IND,310000.0,0.0,53.0,0.0,GEN
1957,Andhra Pradesh,Adilabad,30.0,K. Ashanna,Male,Indian National Congress,INC,365889.0,176662.0,48.28,5912.0,GEN
1957,Andhra Pradesh,Adoni,22.0,Pendekanti Venkata Subbaiah,Male,Indian National Congress,INC,393171.0,117937.0,30.0,48653.0,GEN
1957,Andhra Pradesh,Anantapur,20.0,T. Nagi Reddy,Male,Communist Party of India,CPI,423056.0,194554.0,45.99,10801.0,GEN
1957,Andhra Pradesh,Chittoor,17.0,M. Ananthasayanam Ayyangar / M. V. Gangadharasiva,Male,Indian National Congress,INC,873993.0,244210.0,27.94,0.0,GEN
